Код;Наименование;Цена;url
8026;Алора таблетки 100мг (100 мг) N20;79.1;http://neboley.dp.ua/products/instruction/301
1024;Алоэ экстракт амп 1мл N10;39.3;http://neboley.dp.ua/products/instruction/303
10748;Алтейка сироп 200мл;42.1;http://neboley.dp.ua/products/instruction/306
4875;Алтемикс сироп 100мл;19.6;http://neboley.dp.ua/products/instruction/307
32;Алфавит 50+ таблетки N60;91;http://neboley.dp.ua/products/instruction/309
6540;Алфавит Диабет таблетки N60;87.8;http://neboley.dp.ua/products/instruction/310
9386;Алфавит таблетки N120;117.5;http://neboley.dp.ua/products/instruction/311
8151;Алфавит таблетки N60;39.2;http://neboley.dp.ua/products/instruction/312
10597;Алфавит Школьник таблетки N60;93.1;http://neboley.dp.ua/products/instruction/313
892;Алфлутоп 1% 1мл N10;501.3;http://neboley.dp.ua/products/instruction/316
12476;Альба капсулы (таблетки) N60;128.1;http://neboley.dp.ua/products/instruction/317
13308;Альбумин фл 20% 100мл;1308.2;http://neboley.dp.ua/products/instruction/318
2241;Альгопикс шампунь 200мл;68.1;http://neboley.dp.ua/products/instruction/321
727;Альдазол таблетки 400мг (400 мг) N3;43.5;http://neboley.dp.ua/products/instruction/322
5498;Алька Прим таблетки шип N10;97.4;http://neboley.dp.ua/products/instruction/324
3300;Альмагель А сусп 170 мл;47;http://neboley.dp.ua/products/instruction/325
11886;Альмагель Нео пак 10 мл N10;37.4;http://neboley.dp.ua/products/instruction/326
12142;Альмагель Нео пак 10 мл N20;71.5;http://neboley.dp.ua/products/instruction/327
8736;Альмагель Нео сусп 170 мл;49.2;http://neboley.dp.ua/products/instruction/328
3301;Альмагель сусп 170 мл;39.4;http://neboley.dp.ua/products/instruction/329
6840;Альмагель Т таблетки 500мг (500 мг) N24;34.5;http://neboley.dp.ua/products/instruction/330
9947;Альмер таблетки 10мг (10 мг) N30;226.2;http://neboley.dp.ua/products/instruction/331
8520;Альмер таблетки 5мг (5 мг) N30;142.9;http://neboley.dp.ua/products/instruction/332
10326;Альтабор таблетки 20мг (20 мг) N20;34.5;http://neboley.dp.ua/products/instruction/333
1403;Альтан таблетки  0,01г N100;50.9;http://neboley.dp.ua/products/instruction/334
12965;Альфа Д3-Тева капсулы (таблетки) 0,5мкг N30;368.4;http://neboley.dp.ua/products/instruction/335
12736;Альфа Д3-Тева капсулы (таблетки) 1мкг N30;561.8;http://neboley.dp.ua/products/instruction/336
9954;Альфа-Липон таблетки 0,3г N30;106.7;http://neboley.dp.ua/products/instruction/337
12973;Альфаган капли 5мл N1;199.6;http://neboley.dp.ua/products/instruction/338
12438;Альфарекин фл 3млн МО N10;1570.6;http://neboley.dp.ua/products/instruction/340
8654;Амантин таблетки 100мг (100 мг) N60;200.9;http://neboley.dp.ua/products/instruction/344
371;Амапирид таблетки 4мг (4 мг) N30;160.1;http://neboley.dp.ua/products/instruction/347
11180;Амарил М таблетки 2мг/500мг N30;104.4;http://neboley.dp.ua/products/instruction/348
3496;Амарил таблетки 2мг (2 мг) N30;100.3;http://neboley.dp.ua/products/instruction/349
2940;Амарил таблетки 3мг (3 мг) N30;144.7;http://neboley.dp.ua/products/instruction/350
2812;Амарил таблетки 4мг (4 мг) N30;176.8;http://neboley.dp.ua/products/instruction/351
7864;Амбробене р-р 100мл;88.3;http://neboley.dp.ua/products/instruction/352
3705;Амбробене р-р 40мл;47.8;http://neboley.dp.ua/products/instruction/353
2718;Амбробене ретард капсулы (таблетки) 75мг (75 мг) N10;77.9;http://neboley.dp.ua/products/instruction/354
3163;Амбробене сироп 100мл;59.1;http://neboley.dp.ua/products/instruction/355
3256;Амбробене таблетки 30мг (30 мг) N20;48.7;http://neboley.dp.ua/products/instruction/356
9393;"Амброксол сироп &quot;Бо&quot; 100мл";20.6;http://neboley.dp.ua/products/instruction/359
9824;Амброксол сироп 30мг/5мл 100мл;22.9;http://neboley.dp.ua/products/instruction/361
1231;Амброксол таблетки 30мг (30 мг) N20;5.7;http://neboley.dp.ua/products/instruction/362
11277;Амброксол форте сироп 30мг/5мл 100мл;21.1;http://neboley.dp.ua/products/instruction/363
9518;Амбросан таблетки 30мг (30 мг) N20;43.3;http://neboley.dp.ua/products/instruction/364
4886;Амбротард капсулы (таблетки) 75мг (75 мг) N10;39.5;http://neboley.dp.ua/products/instruction/365
10180;Амигрен капсулы (таблетки) 100мг (100 мг) N1;27.6;http://neboley.dp.ua/products/instruction/367
10638;Амигрен капсулы (таблетки) 50мг (50 мг) N1;13;http://neboley.dp.ua/products/instruction/368
5468;Амидарон таблетки 200мг (200 мг) N30;41.9;http://neboley.dp.ua/products/instruction/369
1560;Амизон таблетки 0,25г N10;27;http://neboley.dp.ua/products/instruction/370
2939;Амизон таблетки 0,25г N20;48.6;http://neboley.dp.ua/products/instruction/371
8385;Амизон таблетки детский 0,125г N10;21.4;http://neboley.dp.ua/products/instruction/372
3166;Амикацин-КМП 0,25г фл;27.5;http://neboley.dp.ua/products/instruction/374
11309;Амикацина сульфат 1000мг (1000 мг) N1;38.4;http://neboley.dp.ua/products/instruction/375
10959;Амикацина сульфат 500мг (500 мг) N1;19.6;http://neboley.dp.ua/products/instruction/376
7882;Амиксин таблетки 0,06г N3;38.8;http://neboley.dp.ua/products/instruction/377
8314;Амиксин таблетки 0,06г N9;97.3;http://neboley.dp.ua/products/instruction/378
8037;Амиксин таблетки 0,125  N3;79;http://neboley.dp.ua/products/instruction/379
2533;Аминалон капсулы (таблетки) N50;22.2;http://neboley.dp.ua/products/instruction/381
5289;Аминалон таблетки 0,25г N10;5.7;http://neboley.dp.ua/products/instruction/383
1029;Аминалон таблетки 0,25г N50;19.1;http://neboley.dp.ua/products/instruction/384
2429;Аминокапрон к-та пак 1г (10шт) N1;88.4;http://neboley.dp.ua/products/instruction/385
1640;Аминокапроновая кислота таблетки 0,5г N20;21.4;http://neboley.dp.ua/products/instruction/386
12126;Аминосол Нео фл 10% 500мл  N1;245.1;http://neboley.dp.ua/products/instruction/387
5919;Амиокордин таблетки 200мг (200 мг) N30;102.4;http://neboley.dp.ua/products/instruction/388
3283;Амиокордин таблетки 200мг (200 мг) N60;194.8;http://neboley.dp.ua/products/instruction/389
7466;Амлодил капсулы (таблетки) 5мг (5 мг) N20;51.1;http://neboley.dp.ua/products/instruction/396
6057;Амлодипин таблетки 10мг (10 мг) N30;19.7;http://neboley.dp.ua/products/instruction/399
11300;Амлодипин таблетки 10мг (10 мг) N10;9.1;http://neboley.dp.ua/products/instruction/401
557;Амлодипин таблетки 10мг (10 мг) N20;14.8;http://neboley.dp.ua/products/instruction/402
9645;Амлодипин таблетки 5мг (5 мг) N10;5.8;http://neboley.dp.ua/products/instruction/403
6492;Амлодипин таблетки 5мг (5 мг) N30;12.7;http://neboley.dp.ua/products/instruction/404
5636;Амлонг таблетки 10мг (10 мг) N30;60.9;http://neboley.dp.ua/products/instruction/406
4878;Амлонг таблетки 5мг (5 мг) N30;40.7;http://neboley.dp.ua/products/instruction/407
11210;Амлоприл таблетки 10мг (10 мг) N20;35;http://neboley.dp.ua/products/instruction/409
5828;Амлоприл таблетки 5мг (5 мг) N20;21.9;http://neboley.dp.ua/products/instruction/410
373;Аммиак 10% 100мл;4.4;http://neboley.dp.ua/products/instruction/412
2239;Аммиак 10% 40мл;2.2;http://neboley.dp.ua/products/instruction/413
5294;Амоксиклав амп 1,2г N5;261.1;http://neboley.dp.ua/products/instruction/414
3250;Амоксиклав Квиктаб таблетки 1000мг (1000 мг) N10;99.4;http://neboley.dp.ua/products/instruction/415
2761;Амоксиклав Квиктаб таблетки 625мг (625 мг) N10;71.9;http://neboley.dp.ua/products/instruction/416
59;Амоксиклав сусп 250/62,5мг в 5мл фл 100мл;119.6;http://neboley.dp.ua/products/instruction/417
6000;Амоксиклав таблетки 1000мг (1000 мг) N14;165.5;http://neboley.dp.ua/products/instruction/418
5996;Амоксиклав таблетки 625мг (625 мг) N14;124.4;http://neboley.dp.ua/products/instruction/420
7035;Амоксил таблетки 0,25 N20;33.8;http://neboley.dp.ua/products/instruction/422
6862;Амоксил таблетки 0,5г N20;50.3;http://neboley.dp.ua/products/instruction/423
11844;Амоксил-К таблетки 625мг (625 мг) N14;69.6;http://neboley.dp.ua/products/instruction/424
9267;Амписульбин фл 1,5г;52.3;http://neboley.dp.ua/products/instruction/431
3314;Ампициллина натр соль 0,5г фл N1;5;http://neboley.dp.ua/products/instruction/432
1143;Ампициллина натр соль 1г фл N1;7.7;http://neboley.dp.ua/products/instruction/433
2898;Ампициллина т/г таблетки 0,25г N20;28.6;http://neboley.dp.ua/products/instruction/434
2730;Амприл HD таблетки 5мг/25мг N30;178.4;http://neboley.dp.ua/products/instruction/436
911;Амприл HL таблетки 2,5мг/12,5мг N30;110.5;http://neboley.dp.ua/products/instruction/437
5155;Амприл таблетки 1,25мг N30;84.9;http://neboley.dp.ua/products/instruction/438
7834;Амприл таблетки 10мг (10 мг) N30;204.9;http://neboley.dp.ua/products/instruction/439
10987;Амприл таблетки 2,5мг N30;124.8;http://neboley.dp.ua/products/instruction/440
7779;Амприл таблетки 5мг (5 мг) N30;139.9;http://neboley.dp.ua/products/instruction/441
1404;Анальгин амп 50% 1мл N10;17.9;http://neboley.dp.ua/products/instruction/444
1040;Анальгин амп 50% 2мл N10;24.5;http://neboley.dp.ua/products/instruction/445
3098;Анальгин супп 0,1г N10;12.3;http://neboley.dp.ua/products/instruction/446
8961;Анальгин таблетки 0,5г N10;4.4;http://neboley.dp.ua/products/instruction/447
1038;Анальгин таблетки 0,5г N10;4;http://neboley.dp.ua/products/instruction/448
9597;Анальдим супп 100мг (100 мг) N10;14.9;http://neboley.dp.ua/products/instruction/449
9598;Анальдим супп 250мг (250 мг) N10;16.1;http://neboley.dp.ua/products/instruction/450
1042;Анаприлин таблетки 0.01г N50;23.5;http://neboley.dp.ua/products/instruction/453
2311;Анаприлин таблетки 0.04г N50;30;http://neboley.dp.ua/products/instruction/454
6708;Анаферон детский таблетки N20;51.9;http://neboley.dp.ua/products/instruction/455
7842;Анаферон таблетки д/взросл N20;51.9;http://neboley.dp.ua/products/instruction/456
9788;Анафранил таблетки 25мг (25 мг) N30;231.2;http://neboley.dp.ua/products/instruction/457
1714;Анги Септ вишня таблетки N12;31.8;http://neboley.dp.ua/products/instruction/458
8855;Анги Септ облепиха таблетки N12;30.6;http://neboley.dp.ua/products/instruction/459
6645;Анги Септ шалфей таблетки N12;30.3;http://neboley.dp.ua/products/instruction/460
3382;Ангизар плюс таблетки N30;79.9;http://neboley.dp.ua/products/instruction/461
10787;Ангилекс р-р 120мл;43.4;http://neboley.dp.ua/products/instruction/463
11237;Ангилекс спрей 50мл;46.7;http://neboley.dp.ua/products/instruction/464
5715;Ангин-гран гр 10г;38.7;http://neboley.dp.ua/products/instruction/465
2611;Ангин-хеель таблетки N50;110.8;http://neboley.dp.ua/products/instruction/466
12682;Ангиноваг спрей 20мл;159.6;http://neboley.dp.ua/products/instruction/468
4455;Ангио-инель амп 1,1мл N5;191.1;http://neboley.dp.ua/products/instruction/469
1471;Андипал В таблетки N10;13.8;http://neboley.dp.ua/products/instruction/470
11336;Андрокур депо амп 3мл N3;1435.3;http://neboley.dp.ua/products/instruction/473
11859;Андрокур таблетки 50мг (50 мг) N50;1192.1;http://neboley.dp.ua/products/instruction/474
2288;Анестезол супп N5;15;http://neboley.dp.ua/products/instruction/475
8187;Анжелик таблетки N28;329.9;http://neboley.dp.ua/products/instruction/476
11556;Анзибел пастилки с медом и лимоном N30;76.7;http://neboley.dp.ua/products/instruction/478
5864;Анти Флу Кидс пак N5;67.2;http://neboley.dp.ua/products/instruction/479
4542;Анти Флу пак N5;70.3;http://neboley.dp.ua/products/instruction/480
9152;Антигриппин таблетки шип N30 взрослый;114.6;http://neboley.dp.ua/products/instruction/485
7697;Антикатарал пор пакет N10;81;http://neboley.dp.ua/products/instruction/486
3988;Антимигрен таблетки 100мг (100 мг) N3;86.2;http://neboley.dp.ua/products/instruction/487
9163;Антимигрен таблетки 50мг (50 мг) N3;45.1;http://neboley.dp.ua/products/instruction/488
6640;АнтиполиZ таблетки N2;7.7;http://neboley.dp.ua/products/instruction/489
5798;АнтиполиZ таблетки N4;11.5;http://neboley.dp.ua/products/instruction/490
4962;Антиполицай таблетки N48;325.9;http://neboley.dp.ua/products/instruction/491
5797;Антиседин 200мл;37.1;http://neboley.dp.ua/products/instruction/496
9295;Антиседин (два плюса) 200мл;44.5;http://neboley.dp.ua/products/instruction/497
7995;Антистресс капсулы (таблетки) 250мг (250 мг) N60;51.1;http://neboley.dp.ua/products/instruction/498
7988;Антифронт капсулы (таблетки) N30;148.6;http://neboley.dp.ua/products/instruction/500
10687;Антихолестерин Люцерна капсулы (таблетки) N50;83.7;http://neboley.dp.ua/products/instruction/502
3355;Антихрапин аэрозоль 30мл;20.9;http://neboley.dp.ua/products/instruction/503
629;Антраль таблетки 0,1г N30;58.5;http://neboley.dp.ua/products/instruction/504
7958;Антраль таблетки 0,2г N30;92.1;http://neboley.dp.ua/products/instruction/505
11382;Анузол супп N10;21;http://neboley.dp.ua/products/instruction/506
1297;Апизартрон мазь 20г;52.7;http://neboley.dp.ua/products/instruction/508
1052;Апилак таблетки 10мг (10 мг) N25;84.9;http://neboley.dp.ua/products/instruction/509
8587;Апипрост капсулы (таблетки) N60;137.7;http://neboley.dp.ua/products/instruction/511
5338;Апонил таблетки 100мг (100 мг) N20;24.5;http://neboley.dp.ua/products/instruction/513
1997;Аптечка транспортная без буторфанола;190.4;http://neboley.dp.ua/products/instruction/518
2077;Аптечка универсальная;136.7;http://neboley.dp.ua/products/instruction/520
3812;Аралии настойка 50мл;18.3;http://neboley.dp.ua/products/instruction/521
12383;Арбивир капсулы (таблетки) 100мг (100 мг) N10;58.9;http://neboley.dp.ua/products/instruction/522
7067;Аргосульфан крем 2% 15г;104.1;http://neboley.dp.ua/products/instruction/525
5651;Аргосульфан крем 2% 40г;147.9;http://neboley.dp.ua/products/instruction/526
2662;Арикстра амп 2,5мг/0,5мл N10;3253.6;http://neboley.dp.ua/products/instruction/527
5721;Аритмил таблетки 0,2г N20;48;http://neboley.dp.ua/products/instruction/528
5089;Арифон ретард таблетки 1,5мг N30;82.1;http://neboley.dp.ua/products/instruction/529
11251;Аркоксия таблетки 120мг (120 мг) N7;291.5;http://neboley.dp.ua/products/instruction/530
11211;Аркоксия таблетки 60мг (60 мг) N7;175.2;http://neboley.dp.ua/products/instruction/531
11250;Аркоксия таблетки 90мг (90 мг) N7;232.7;http://neboley.dp.ua/products/instruction/532
10407;Армадин амп 2мл N10;273.4;http://neboley.dp.ua/products/instruction/533
8364;Аромакомпозиция эфирных масел Здоровье 10мл;25;http://neboley.dp.ua/products/instruction/536
4415;"Аромакомпоз  эф/масел &quot;Противопростудная&quot; 10мл";23.7;http://neboley.dp.ua/products/instruction/538
9739;"Аромакомпоз  эф/масел &quot;Хвойная Банька&quot; 10мл";30.1;http://neboley.dp.ua/products/instruction/539
7441;Артелак гл капли 10мл;92.6;http://neboley.dp.ua/products/instruction/591
4916;Артихол таблетки 0,2г N30;34.4;http://neboley.dp.ua/products/instruction/592
8633;Артишока экстракт капсулы (таблетки) 100мг (100 мг) N60;32.1;http://neboley.dp.ua/products/instruction/595
416;Артишока экстракт капсулы (таблетки) 300мг (300 мг) N30;48.4;http://neboley.dp.ua/products/instruction/596
10918;Артишока экстракт таблетки 200мг (200 мг) N60;29.9;http://neboley.dp.ua/products/instruction/597
12044;Артритозамин таблетки N30;138.9;http://neboley.dp.ua/products/instruction/599
6223;Артро-гран гр 10г;38.7;http://neboley.dp.ua/products/instruction/600
13258;Артрокомплекс капсулы (таблетки) N60;83.3;http://neboley.dp.ua/products/instruction/601
5744;Артрон Комплекс таблетки N30;103.9;http://neboley.dp.ua/products/instruction/602
5945;Артрон Комплекс таблетки N60;208.9;http://neboley.dp.ua/products/instruction/603
9229;Артрон Триактив таблетки N30;82.8;http://neboley.dp.ua/products/instruction/604
4321;Артрон Триактив таблетки N60;114.8;http://neboley.dp.ua/products/instruction/605
7080;Артрон Триактив форте таблетки N60;232.1;http://neboley.dp.ua/products/instruction/607
6404;Артрон Хондрекс таблетки 750мг (750 мг) N60;399.4;http://neboley.dp.ua/products/instruction/611
6858;Артрофон таблетки N40;60.6;http://neboley.dp.ua/products/instruction/613
1053;Арутимол гл капли 0,25% 5мл фл N1;44.2;http://neboley.dp.ua/products/instruction/615
1054;Арутимол гл капли 0,5% 5мл фл N1;67.4;http://neboley.dp.ua/products/instruction/616
5751;Асафен таблетки 80мг (80 мг) N90;106.9;http://neboley.dp.ua/products/instruction/617
5295;Асинис капли 20мл;85.3;http://neboley.dp.ua/products/instruction/618
1648;Асинис капли 50мл;155.8;http://neboley.dp.ua/products/instruction/619
10273;Асковит плюс клубника таблетки N10;3.3;http://neboley.dp.ua/products/instruction/620
11285;Асконова Антиоксидант таблетки N120;79.8;http://neboley.dp.ua/products/instruction/621
11286;Асконова Железо таблетки N120;79.1;http://neboley.dp.ua/products/instruction/622
